8 threads:
4096 blocks per slice
i 00505 v 0000000000263180
i 00506 v 000000000026905f
i 00507 v 000000000026e5e6
i 00508 v 000000000027004f
i 00509 v 000000000027164b
i 00510 v 0000000000271dc1
i 00511 v 000000000027603d
i 00512 v 0000000000282642
i 00513 v 000000000028a127
i 00514 v 000000000028d687
i 00515 v 000000000028d9f9
i 00516 v 000000000029436e
i 00517 v 0000000000295ffa
i 00518 v 000000000029e631
i 00519 v 00000000002a07fd
i 00520 v 00000000002a1db7
i 00521 v 00000000002abefc
i 00522 v 00000000002acca5
i 00523 v 00000000002ad2a6
i 00524 v 00000000002b34fa
i 00525 v 00000000002b7ab4
i 00526 v 00000000002c11fa
i 00527 v 00000000002c4902
i 00528 v 00000000002c4a19
i 00529 v 00000000002ce778
i 00530 v 00000000002d068f
i 00531 v 00000000002d3bb2
i 00532 v 00000000002d6e8b
i 00533 v 00000000002d86cc
i 00534 v 00000000002d94bd
i 00535 v 00000000002df15a
i 00536 v 00000000002e8fed
i 00537 v 00000000002f5238
i 00538 v 0000000000306c38
i 00539 v 0000000000315be5
i 00540 v 0000000000318952
i 00541 v 000000000031a19d
i 00542 v 0000000000320237
i 00543 v 0000000000328bca
i 00544 v 000000000032cd29
i 00545 v 000000000032e887
i 00546 v 0000000000334b02
i 00547 v 0000000000335320
i 00548 v 00000000003417af
i 00549 v 00000000003472d8
i 00550 v 000000000034c24c
i 00551 v 000000000034c86d
i 00552 v 00000000003537cc
i 00553 v 0000000000353dde
i 00554 v 000000000036768d
i 00555 v 000000000037659a
i 00556 v 000000000037b1bb
i 00557 v 0000000000385715
i 00558 v 0000000000386c74
i 00559 v 0000000000389e54
i 00560 v 000000000038b218
i 00561 v 000000000039e627
i 00562 v 00000000003a1fcf
i 00563 v 00000000003a7959
i 00564 v 00000000003bd6a8
i 00565 v 00000000003bfeab
i 00566 v 00000000003ce606
i 00567 v 00000000003d3e9b
i 00568 v 00000000003d6773
i 00569 v 00000000003daa4b
i 00570 v 00000000003e195e
i 00571 v 00000000003e3ea2
i 00572 v 00000000003f686a
i 00573 v 0000000000400000
0.045 ms for 22 check bits
i 00574 v 000000000040014c
i 00575 v 000000000040027f
i 00576 v 000000000040049d
i 00577 v 00000000004007d0
i 00578 v 000000000040088f
i 00579 v 0000000000400a1d
i 00580 v 0000000000401284
i 00581 v 0000000000401537
i 00582 v 0000000000401f70
i 00583 v 000000000040218b
i 00584 v 0000000000402964
i 00585 v 00000000004030f3
i 00586 v 0000000000403d43
i 00587 v 0000000000404a2c
i 00588 v 0000000000406261
i 00589 v 0000000000406ff9
i 00590 v 00000000004076cb
i 00591 v 00000000004086b0
i 00592 v 0000000000408a97
i 00593 v 0000000000409da1
i 00594 v 000000000040b235
i 00595 v 000000000040c039
i 00596 v 000000000040cb9e
i 00597 v 000000000040d0f7
i 00598 v 000000000040f982
i 00599 v 0000000000410034
i 00600 v 00000000004121c8
i 00601 v 0000000000413c64
i 00602 v 0000000000415f01
i 00603 v 000000000041773d
i 00604 v 0000000000418ec1
i 00605 v 000000000041a9ba
i 00606 v 000000000041d216
i 00607 v 0000000000425236
i 00608 v 000000000042884f
i 00609 v 000000000042976c
i 00610 v 000000000042af68
i 00611 v 000000000042b077
i 00612 v 000000000042c904
i 00613 v 000000000042cdee
i 00614 v 00000000004324d7
i 00615 v 0000000000432a26
i 00616 v 0000000000435987
i 00617 v 0000000000437882
i 00618 v 00000000004393a5
i 00619 v 000000000043a225
i 00620 v 0000000000444738
i 00621 v 000000000044877a
i 00622 v 000000000044a957
i 00623 v 000000000044db9b
i 00624 v 0000000000452b66
i 00625 v 0000000000455084
i 00626 v 000000000045b4bb
i 00627 v 0000000000461fd0
i 00628 v 0000000000465ca0
i 00629 v 0000000000469390
i 00630 v 000000000046f28a
i 00631 v 0000000000471bdc
i 00632 v 0000000000472e5d
i 00633 v 0000000000476364
i 00634 v 0000000000485a1a
i 00635 v 000000000048994f
i 00636 v 00000000004903a3
i 00637 v 000000000049185f
i 00638 v 0000000000492abf
i 00639 v 0000000000498d12
i 00640 v 00000000004a216a
i 00641 v 00000000004a6f42
i 00642 v 00000000004a8575
i 00643 v 00000000004ab782
i 00644 v 00000000004abfea
i 00645 v 00000000004bc2be
i 00646 v 00000000004bc964
i 00647 v 00000000004bef60
i 00648 v 00000000004c03e2
i 00649 v 00000000004c085d
i 00650 v 00000000004c1b35
i 00651 v 00000000004ce0e0
i 00652 v 00000000004d2378
i 00653 v 00000000004d586f
i 00654 v 00000000004d7cfc
i 00655 v 00000000004df79f
i 00656 v 00000000004e07cf
i 00657 v 00000000004e6abc
i 00658 v 00000000004eb6b2
i 00659 v 00000000004f25ae
i 00660 v 00000000004f7625
i 00661 v 000000000050739c
i 00662 v 000000000050c7e1
i 00663 v 000000000051cfc6
